﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
06.01.2025 00:00:00;06.01.2025 01:00:00;3513,900;584,000;0,000
06.01.2025 01:00:00;06.01.2025 02:00:00;3502,400;674,000;0,000
06.01.2025 02:00:00;06.01.2025 03:00:00;3420,600;743,000;0,000
06.01.2025 03:00:00;06.01.2025 04:00:00;3291,000;783,000;0,000
06.01.2025 04:00:00;06.01.2025 05:00:00;3425,100;751,000;0,000
06.01.2025 05:00:00;06.01.2025 06:00:00;3748,900;777,000;0,000
06.01.2025 06:00:00;06.01.2025 07:00:00;4198,200;898,000;0,000
06.01.2025 07:00:00;06.01.2025 08:00:00;4459,600;972,000;9,000
06.01.2025 08:00:00;06.01.2025 09:00:00;4343,900;1107,000;173,000
06.01.2025 09:00:00;06.01.2025 10:00:00;4298,200;1027,000;638,000
06.01.2025 10:00:00;06.01.2025 11:00:00;4331,000;967,000;833,000
06.01.2025 11:00:00;06.01.2025 12:00:00;4291,500;971,000;945,000
06.01.2025 12:00:00;06.01.2025 13:00:00;4186,800;869,000;932,000
06.01.2025 13:00:00;06.01.2025 14:00:00;4098,800;628,000;782,000
06.01.2025 14:00:00;06.01.2025 15:00:00;4091,500;489,000;490,000
06.01.2025 15:00:00;06.01.2025 16:00:00;4316,900;432,000;208,000
06.01.2025 16:00:00;06.01.2025 17:00:00;4431,800;439,000;48,000
06.01.2025 17:00:00;06.01.2025 18:00:00;4357,400;434,000;0,000
06.01.2025 18:00:00;06.01.2025 19:00:00;4516,900;400,000;0,000
06.01.2025 19:00:00;06.01.2025 20:00:00;4613,300;426,000;0,000
06.01.2025 20:00:00;06.01.2025 21:00:00;4464,600;530,000;0,000
06.01.2025 21:00:00;06.01.2025 22:00:00;4456,100;777,000;0,000
06.01.2025 22:00:00;06.01.2025 23:00:00;4479,200;1157,000;0,000
06.01.2025 23:00:00;07.01.2025 00:00:00;4383,800;1224,000;0,000
07.01.2025 00:00:00;07.01.2025 01:00:00;3890,100;1148,000;0,000
07.01.2025 01:00:00;07.01.2025 02:00:00;3735,600;1177,000;0,000
07.01.2025 02:00:00;07.01.2025 03:00:00;3667,600;1186,000;0,000
07.01.2025 03:00:00;07.01.2025 04:00:00;3492,200;1077,000;0,000
07.01.2025 04:00:00;07.01.2025 05:00:00;3318,200;798,000;0,000
07.01.2025 05:00:00;07.01.2025 06:00:00;3577,700;563,000;0,000
07.01.2025 06:00:00;07.01.2025 07:00:00;4553,200;413,000;0,000
07.01.2025 07:00:00;07.01.2025 08:00:00;5356,200;351,000;8,000
07.01.2025 08:00:00;07.01.2025 09:00:00;5482,400;431,000;93,000
07.01.2025 09:00:00;07.01.2025 10:00:00;5575,800;436,000;229,000
07.01.2025 10:00:00;07.01.2025 11:00:00;5658,500;445,000;343,000
07.01.2025 11:00:00;07.01.2025 12:00:00;5778,700;492,000;442,000
07.01.2025 12:00:00;07.01.2025 13:00:00;5694,200;471,000;466,000
07.01.2025 13:00:00;07.01.2025 14:00:00;5596,700;601,000;433,000
07.01.2025 14:00:00;07.01.2025 15:00:00;5605,100;710,000;331,000
07.01.2025 15:00:00;07.01.2025 16:00:00;5968,200;648,000;187,000
07.01.2025 16:00:00;07.01.2025 17:00:00;6326,400;531,000;50,000
07.01.2025 17:00:00;07.01.2025 18:00:00;5873,200;439,000;0,000
07.01.2025 18:00:00;07.01.2025 19:00:00;5928,600;498,000;0,000
07.01.2025 19:00:00;07.01.2025 20:00:00;5964,700;465,000;0,000
07.01.2025 20:00:00;07.01.2025 21:00:00;5673,200;487,000;0,000
07.01.2025 21:00:00;07.01.2025 22:00:00;5035,900;620,000;0,000
07.01.2025 22:00:00;07.01.2025 23:00:00;5024,100;654,000;0,000
07.01.2025 23:00:00;08.01.2025 00:00:00;4697,400;632,000;0,000
08.01.2025 00:00:00;08.01.2025 01:00:00;4087,400;612,000;0,000
08.01.2025 01:00:00;08.01.2025 02:00:00;4080,300;652,000;0,000
08.01.2025 02:00:00;08.01.2025 03:00:00;3931,100;707,000;0,000
08.01.2025 03:00:00;08.01.2025 04:00:00;3923,100;743,000;0,000
08.01.2025 04:00:00;08.01.2025 05:00:00;4444,000;1080,000;0,000
08.01.2025 05:00:00;08.01.2025 06:00:00;4827,300;1847,000;0,000
08.01.2025 06:00:00;08.01.2025 07:00:00;5757,300;2561,000;0,000
08.01.2025 07:00:00;08.01.2025 08:00:00;6488,700;2860,000;9,000
08.01.2025 08:00:00;08.01.2025 09:00:00;6779,000;2707,000;131,000
08.01.2025 09:00:00;08.01.2025 10:00:00;6361,800;2283,000;456,000
08.01.2025 10:00:00;08.01.2025 11:00:00;5704,600;1876,000;640,000
08.01.2025 11:00:00;08.01.2025 12:00:00;5531,700;1026,000;794,000
08.01.2025 12:00:00;08.01.2025 13:00:00;5335,300;295,000;865,000
08.01.2025 13:00:00;08.01.2025 14:00:00;5165,200;185,000;767,000
08.01.2025 14:00:00;08.01.2025 15:00:00;5576,500;196,000;486,000
08.01.2025 15:00:00;08.01.2025 16:00:00;6056,600;178,000;211,000
08.01.2025 16:00:00;08.01.2025 17:00:00;6516,900;167,000;49,000
08.01.2025 17:00:00;08.01.2025 18:00:00;6509,800;230,000;0,000
08.01.2025 18:00:00;08.01.2025 19:00:00;6362,700;241,000;0,000
08.01.2025 19:00:00;08.01.2025 20:00:00;6225,100;237,000;0,000
08.01.2025 20:00:00;08.01.2025 21:00:00;5641,900;324,000;0,000
08.01.2025 21:00:00;08.01.2025 22:00:00;5401,600;537,000;0,000
08.01.2025 22:00:00;08.01.2025 23:00:00;4863,900;711,000;0,000
08.01.2025 23:00:00;09.01.2025 00:00:00;4933,200;982,000;0,000
09.01.2025 00:00:00;09.01.2025 01:00:00;4781,900;1528,000;0,000
09.01.2025 01:00:00;09.01.2025 02:00:00;4825,800;1804,000;0,000
09.01.2025 02:00:00;09.01.2025 03:00:00;4931,100;1845,000;0,000
09.01.2025 03:00:00;09.01.2025 04:00:00;5043,500;1920,000;0,000
09.01.2025 04:00:00;09.01.2025 05:00:00;5068,900;1808,000;0,000
09.01.2025 05:00:00;09.01.2025 06:00:00;5116,200;1382,000;0,000
09.01.2025 06:00:00;09.01.2025 07:00:00;5995,000;1149,000;0,000
09.01.2025 07:00:00;09.01.2025 08:00:00;6767,000;874,000;9,000
09.01.2025 08:00:00;09.01.2025 09:00:00;8345,000;563,000;116,000
09.01.2025 09:00:00;09.01.2025 10:00:00;7397,400;304,000;376,000
09.01.2025 10:00:00;09.01.2025 11:00:00;6129,500;221,000;569,000
09.01.2025 11:00:00;09.01.2025 12:00:00;5820,800;317,000;777,000
09.01.2025 12:00:00;09.01.2025 13:00:00;5805,400;553,000;858,000
09.01.2025 13:00:00;09.01.2025 14:00:00;5675,800;1038,000;774,000
09.01.2025 14:00:00;09.01.2025 15:00:00;6105,800;1717,000;503,000
09.01.2025 15:00:00;09.01.2025 16:00:00;6454,600;2345,000;240,000
09.01.2025 16:00:00;09.01.2025 17:00:00;6918,200;2755,000;64,000
09.01.2025 17:00:00;09.01.2025 18:00:00;7099,500;2957,000;0,000
09.01.2025 18:00:00;09.01.2025 19:00:00;7241,600;2934,000;0,000
09.01.2025 19:00:00;09.01.2025 20:00:00;7142,700;2800,000;0,000
09.01.2025 20:00:00;09.01.2025 21:00:00;6828,000;2472,000;0,000
09.01.2025 21:00:00;09.01.2025 22:00:00;5792,800;1931,000;0,000
09.01.2025 22:00:00;09.01.2025 23:00:00;5366,400;2060,000;0,000
09.01.2025 23:00:00;10.01.2025 00:00:00;5149,400;2973,000;0,000
10.01.2025 00:00:00;10.01.2025 01:00:00;5466,600;3340,000;0,000
10.01.2025 01:00:00;10.01.2025 02:00:00;5064,000;3322,000;0,000
10.01.2025 02:00:00;10.01.2025 03:00:00;4985,500;3448,000;0,000
10.01.2025 03:00:00;10.01.2025 04:00:00;5034,900;3472,000;0,000
10.01.2025 04:00:00;10.01.2025 05:00:00;5026,400;3398,000;0,000
10.01.2025 05:00:00;10.01.2025 06:00:00;5298,100;3209,000;0,000
10.01.2025 06:00:00;10.01.2025 07:00:00;5698,400;3025,000;0,000
10.01.2025 07:00:00;10.01.2025 08:00:00;6309,400;2931,000;10,000
10.01.2025 08:00:00;10.01.2025 09:00:00;6995,300;2878,000;189,000
10.01.2025 09:00:00;10.01.2025 10:00:00;7059,100;2907,000;767,000
10.01.2025 10:00:00;10.01.2025 11:00:00;6439,100;3096,000;1094,000
10.01.2025 11:00:00;10.01.2025 12:00:00;6194,800;3252,000;1327,000
10.01.2025 12:00:00;10.01.2025 13:00:00;6236,000;3164,000;1336,000
10.01.2025 13:00:00;10.01.2025 14:00:00;6085,500;2970,000;1113,000
10.01.2025 14:00:00;10.01.2025 15:00:00;6052,400;2676,000;694,000
10.01.2025 15:00:00;10.01.2025 16:00:00;6273,700;2259,000;309,000
10.01.2025 16:00:00;10.01.2025 17:00:00;7010,100;1985,000;72,000
10.01.2025 17:00:00;10.01.2025 18:00:00;7742,700;1813,000;0,000
10.01.2025 18:00:00;10.01.2025 19:00:00;8143,700;1621,000;0,000
10.01.2025 19:00:00;10.01.2025 20:00:00;7420,000;1449,000;0,000
10.01.2025 20:00:00;10.01.2025 21:00:00;6161,400;1345,000;0,000
10.01.2025 21:00:00;10.01.2025 22:00:00;5661,100;1306,000;0,000
10.01.2025 22:00:00;10.01.2025 23:00:00;5138,900;1251,000;0,000
10.01.2025 23:00:00;11.01.2025 00:00:00;4853,200;1149,000;0,000
11.01.2025 00:00:00;11.01.2025 01:00:00;4415,400;1092,000;0,000
11.01.2025 01:00:00;11.01.2025 02:00:00;4230,200;1120,000;0,000
11.01.2025 02:00:00;11.01.2025 03:00:00;4223,500;1283,000;0,000
11.01.2025 03:00:00;11.01.2025 04:00:00;4257,000;1486,000;0,000
11.01.2025 04:00:00;11.01.2025 05:00:00;4348,400;1667,000;0,000
11.01.2025 05:00:00;11.01.2025 06:00:00;4517,000;1824,000;0,000
11.01.2025 06:00:00;11.01.2025 07:00:00;4819,100;1870,000;0,000
11.01.2025 07:00:00;11.01.2025 08:00:00;5054,400;1818,000;13,000
11.01.2025 08:00:00;11.01.2025 09:00:00;5385,200;1776,000;236,000
11.01.2025 09:00:00;11.01.2025 10:00:00;5468,500;1772,000;931,000
11.01.2025 10:00:00;11.01.2025 11:00:00;5413,200;1911,000;1264,000
11.01.2025 11:00:00;11.01.2025 12:00:00;5423,400;2250,000;1473,000
11.01.2025 12:00:00;11.01.2025 13:00:00;5490,200;2495,000;1471,000
11.01.2025 13:00:00;11.01.2025 14:00:00;5502,800;2543,000;1253,000
11.01.2025 14:00:00;11.01.2025 15:00:00;5454,500;2593,000;806,000
11.01.2025 15:00:00;11.01.2025 16:00:00;5453,900;2673,000;364,000
11.01.2025 16:00:00;11.01.2025 17:00:00;5908,800;2742,000;97,000
11.01.2025 17:00:00;11.01.2025 18:00:00;6576,400;2812,000;0,000
11.01.2025 18:00:00;11.01.2025 19:00:00;6714,300;2940,000;0,000
11.01.2025 19:00:00;11.01.2025 20:00:00;6587,000;3053,000;0,000
11.01.2025 20:00:00;11.01.2025 21:00:00;6276,400;3186,000;0,000
11.01.2025 21:00:00;11.01.2025 22:00:00;5986,000;3327,000;0,000
11.01.2025 22:00:00;11.01.2025 23:00:00;5846,400;3395,000;0,000
11.01.2025 23:00:00;12.01.2025 00:00:00;5659,600;3417,000;0,000
12.01.2025 00:00:00;12.01.2025 01:00:00;5533,300;3409,000;0,000
12.01.2025 01:00:00;12.01.2025 02:00:00;5458,600;3404,000;0,000
12.01.2025 02:00:00;12.01.2025 03:00:00;5437,300;3395,000;0,000
12.01.2025 03:00:00;12.01.2025 04:00:00;5365,500;3385,000;0,000
12.01.2025 04:00:00;12.01.2025 05:00:00;5340,800;3372,000;0,000
12.01.2025 05:00:00;12.01.2025 06:00:00;5423,600;3368,000;0,000
12.01.2025 06:00:00;12.01.2025 07:00:00;5531,000;3373,000;0,000
12.01.2025 07:00:00;12.01.2025 08:00:00;5766,900;3371,000;24,000
12.01.2025 08:00:00;12.01.2025 09:00:00;6410,200;3377,000;237,000
12.01.2025 09:00:00;12.01.2025 10:00:00;6877,600;3380,000;771,000
12.01.2025 10:00:00;12.01.2025 11:00:00;6759,500;3403,000;1014,000
12.01.2025 11:00:00;12.01.2025 12:00:00;6718,100;3444,000;1244,000
12.01.2025 12:00:00;12.01.2025 13:00:00;6539,300;3429,000;1300,000
12.01.2025 13:00:00;12.01.2025 14:00:00;6480,200;3399,000;1116,000
12.01.2025 14:00:00;12.01.2025 15:00:00;6511,600;3342,000;796,000
12.01.2025 15:00:00;12.01.2025 16:00:00;6817,400;3291,000;431,000
12.01.2025 16:00:00;12.01.2025 17:00:00;7543,100;3312,000;115,000
12.01.2025 17:00:00;12.01.2025 18:00:00;8838,500;3355,000;0,000
12.01.2025 18:00:00;12.01.2025 19:00:00;9364,700;3368,000;0,000
12.01.2025 19:00:00;12.01.2025 20:00:00;8961,500;3351,000;0,000
12.01.2025 20:00:00;12.01.2025 21:00:00;7846,700;3325,000;0,000
12.01.2025 21:00:00;12.01.2025 22:00:00;7327,300;3301,000;0,000
12.01.2025 22:00:00;12.01.2025 23:00:00;7029,400;3278,000;0,000
12.01.2025 23:00:00;13.01.2025 00:00:00;6504,300;3250,000;0,000
